"ID","time","lon","lat","hdop","x","y","depth"
4405883,2007-04-03 18:00:03,-111.8587,27.8108,16.8,75317.8282813448,42970.2243537535,NA
4405883,2007-04-03 18:04:00,NA,NA,NA,NA,NA,-110
4405883,2007-04-03 18:09:00,NA,NA,NA,NA,NA,-532
4405883,2007-04-03 18:14:00,NA,NA,NA,NA,NA,-1042
4405883,2007-04-03 18:19:00,NA,NA,NA,NA,NA,-1357
4405883,2007-04-03 18:24:00,NA,NA,NA,NA,NA,-1233
4405883,2007-04-03 18:29:00,NA,NA,NA,NA,NA,-1140
4405883,2007-04-03 18:34:00,NA,NA,NA,NA,NA,-886
4405883,2007-04-03 18:39:00,NA,NA,NA,NA,NA,-669
4405883,2007-04-03 18:44:00,NA,NA,NA,NA,NA,-112
4405883,2007-04-03 18:45:40,-111.8737,27.794,13,73997.1246374503,40952.1554971333,NA
4405883,2007-04-03 18:49:00,NA,NA,NA,NA,NA,2
4405883,2007-04-03 18:51:01,-111.8757,27.7939,21.1,73799.0192704573,40922.6967268381,NA
4405883,2007-04-03 18:54:00,NA,NA,NA,NA,NA,-6
4405883,2007-04-03 18:59:00,NA,NA,NA,NA,NA,-417
4405883,2007-04-03 19:04:00,NA,NA,NA,NA,NA,-683
4405883,2007-04-03 19:09:00,NA,NA,NA,NA,NA,-844
4405883,2007-04-03 19:14:00,NA,NA,NA,NA,NA,-1062
4405883,2007-04-03 19:19:00,NA,NA,NA,NA,NA,-1226
4405883,2007-04-03 19:24:00,NA,NA,NA,NA,NA,-1108
4405883,2007-04-03 19:29:00,NA,NA,NA,NA,NA,-657
4405883,2007-04-03 19:34:00,NA,NA,NA,NA,NA,-169
4405883,2007-04-03 19:36:43,-111.8927,27.7795,14,72254.0004320391,39155.4207751304,NA
4405883,2007-04-03 19:39:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 19:42:00,-111.8932,27.7802,21.6,72197.0403119565,39229.2345776702,NA
4405883,2007-04-03 19:44:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 19:49:00,NA,NA,NA,NA,NA,-252
4405883,2007-04-03 19:54:00,NA,NA,NA,NA,NA,-519
4405883,2007-04-03 19:59:00,NA,NA,NA,NA,NA,-929
4405883,2007-04-03 20:04:00,NA,NA,NA,NA,NA,-1325
4405883,2007-04-03 20:09:00,NA,NA,NA,NA,NA,-1341
4405883,2007-04-03 20:14:00,NA,NA,NA,NA,NA,-1051
4405883,2007-04-03 20:19:00,NA,NA,NA,NA,NA,-968
4405883,2007-04-03 20:24:00,NA,NA,NA,NA,NA,-451
4405883,2007-04-03 20:28:43,-111.8966,27.7625,15.4,72039.719783853,37216.6190553489,NA
4405883,2007-04-03 20:29:00,NA,NA,NA,NA,NA,0
4405883,2007-04-03 20:34:00,-111.8947,27.7625,20.2,72228.9455001391,37233.9216706436,0
4405883,2007-04-03 20:39:00,NA,NA,NA,NA,NA,-119
4405883,2007-04-03 20:44:00,NA,NA,NA,NA,NA,-319
4405883,2007-04-03 20:49:00,NA,NA,NA,NA,NA,-337
4405883,2007-04-03 20:54:00,NA,NA,NA,NA,NA,-330
4405883,2007-04-03 20:59:00,NA,NA,NA,NA,NA,-338
4405883,2007-04-03 21:04:00,NA,NA,NA,NA,NA,-342
4405883,2007-04-03 21:09:00,NA,NA,NA,NA,NA,-297
4405883,2007-04-03 21:13:41,-111.9081,27.7519,21,71002.7899590563,35925.2344309064,NA
4405883,2007-04-03 21:14:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 21:19:00,NA,NA,NA,NA,NA,0
4405883,2007-04-03 21:19:02,-111.9089,27.7549,16.2,70892.4453798858,36253.8251647917,NA
4405883,2007-04-03 21:24:00,NA,NA,NA,NA,NA,-135
4405883,2007-04-03 21:29:00,NA,NA,NA,NA,NA,-333
4405883,2007-04-03 21:34:00,NA,NA,NA,NA,NA,-325
4405883,2007-04-03 21:39:00,NA,NA,NA,NA,NA,-333
4405883,2007-04-03 21:44:00,NA,NA,NA,NA,NA,-316
4405883,2007-04-03 21:49:00,NA,NA,NA,NA,NA,-306
4405883,2007-04-03 21:54:00,NA,NA,NA,NA,NA,-11
4405883,2007-04-03 21:54:18,-111.9232,27.7675,16.4,69339.574039906,37534.4656695686,NA
4405883,2007-04-03 21:59:00,NA,NA,NA,NA,NA,0
4405883,2007-04-03 22:00:00,-111.9237,27.7695,0.6,69269.3583993828,37753.8263388518,NA
4405883,2007-04-03 22:04:00,NA,NA,NA,NA,NA,-123
4405883,2007-04-03 22:09:00,NA,NA,NA,NA,NA,-354
4405883,2007-04-03 22:14:00,NA,NA,NA,NA,NA,-803
4405883,2007-04-03 22:19:00,NA,NA,NA,NA,NA,-1330
4405883,2007-04-03 22:24:00,NA,NA,NA,NA,NA,-1286
4405883,2007-04-03 22:29:00,NA,NA,NA,NA,NA,-1197
4405883,2007-04-03 22:34:00,NA,NA,NA,NA,NA,-708
4405883,2007-04-03 22:39:00,NA,NA,NA,NA,NA,-134
4405883,2007-04-03 22:40:49,-111.9299,27.7831,15.6,68513.1232104166,39220.036568136,NA
4405883,2007-04-03 22:44:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 22:46:03,-111.9305,27.785,5.9,68433.9829542579,39427.2911191578,NA
4405883,2007-04-03 22:49:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 22:54:00,NA,NA,NA,NA,NA,-282
4405883,2007-04-03 22:59:00,NA,NA,NA,NA,NA,-303
4405883,2007-04-03 23:04:00,NA,NA,NA,NA,NA,-302
